fecha,combustible,porcentaje_critico
2026-03-12T18:00:00-04:00,0,0.207
2026-03-12T18:00:00-04:00,1,0.342
2026-03-13T00:00:00-04:00,0,0.268
2026-03-13T00:00:00-04:00,1,0.404
2026-03-13T06:00:00-04:00,0,0.254
2026-03-13T06:00:00-04:00,1,0.395
2026-03-13T12:00:00-04:00,0,0.189
2026-03-13T12:00:00-04:00,1,0.322
2026-03-13T18:00:00-04:00,0,0.209
2026-03-13T18:00:00-04:00,1,0.324
2026-03-14T00:00:00-04:00,0,0.264
2026-03-14T00:00:00-04:00,1,0.385
2026-03-14T06:00:00-04:00,0,0.254
2026-03-14T06:00:00-04:00,1,0.399
2026-03-14T12:00:00-04:00,0,0.187
2026-03-14T12:00:00-04:00,1,0.322
2026-03-14T18:00:00-04:00,0,0.219
2026-03-14T18:00:00-04:00,1,0.374
2026-03-15T00:00:00-04:00,0,0.241
2026-03-15T00:00:00-04:00,1,0.445
2026-03-15T06:00:00-04:00,0,0.233
2026-03-15T06:00:00-04:00,1,0.379
2026-03-15T12:00:00-04:00,0,0.207
2026-03-15T12:00:00-04:00,1,0.288
2026-03-15T18:00:00-04:00,0,0.241
2026-03-15T18:00:00-04:00,1,0.365
2026-03-16T00:00:00-04:00,0,0.266
2026-03-16T00:00:00-04:00,1,0.429
2026-03-16T06:00:00-04:00,0,0.256
2026-03-16T06:00:00-04:00,1,0.419
2026-03-16T12:00:00-04:00,0,0.219
2026-03-16T12:00:00-04:00,1,0.338
2026-03-16T18:00:00-04:00,0,0.221
2026-03-16T18:00:00-04:00,1,0.329
2026-03-17T00:00:00-04:00,0,0.284
2026-03-17T00:00:00-04:00,1,0.383
2026-03-17T06:00:00-04:00,0,0.282
2026-03-17T06:00:00-04:00,1,0.385
2026-03-17T12:00:00-04:00,0,0.223
2026-03-17T12:00:00-04:00,1,0.288
2026-03-17T18:00:00-04:00,0,0.231
2026-03-17T18:00:00-04:00,1,0.293
2026-03-18T00:00:00-04:00,0,0.292
2026-03-18T00:00:00-04:00,1,0.331
2026-03-18T06:00:00-04:00,0,0.296
2026-03-18T06:00:00-04:00,1,0.349
2026-03-18T12:00:00-04:00,0,0.203
2026-03-18T12:00:00-04:00,1,0.259
2026-03-18T18:00:00-04:00,0,0.227
2026-03-18T18:00:00-04:00,1,0.279
2026-03-19T00:00:00-04:00,0,0.256
2026-03-19T00:00:00-04:00,1,0.329
2026-03-19T06:00:00-04:00,0,0.260
2026-03-19T06:00:00-04:00,1,0.335
2026-03-19T12:00:00-04:00,0,0.179
2026-03-19T12:00:00-04:00,1,0.225
2026-03-19T18:00:00-04:00,0,0.211
2026-03-19T18:00:00-04:00,1,0.250
2026-03-20T00:00:00-04:00,0,0.241
2026-03-20T00:00:00-04:00,1,0.297
2026-03-20T06:00:00-04:00,0,0.252
2026-03-20T06:00:00-04:00,1,0.306
2026-03-20T12:00:00-04:00,0,0.177
2026-03-20T12:00:00-04:00,1,0.242
2026-03-20T18:00:00-04:00,0,0.213
2026-03-20T18:00:00-04:00,1,0.263
2026-03-21T00:00:00-04:00,0,0.252
2026-03-21T00:00:00-04:00,1,0.342
2026-03-21T06:00:00-04:00,0,0.241
2026-03-21T06:00:00-04:00,1,0.367
2026-03-21T12:00:00-04:00,0,0.155
2026-03-21T12:00:00-04:00,1,0.231
2026-03-21T18:00:00-04:00,0,0.187
2026-03-21T18:00:00-04:00,1,0.256
2026-03-22T00:00:00-04:00,0,0.225
2026-03-22T00:00:00-04:00,1,0.318
2026-03-22T06:00:00-04:00,0,0.221
2026-03-22T06:00:00-04:00,1,0.318
2026-03-22T12:00:00-04:00,0,0.167
2026-03-22T12:00:00-04:00,1,0.234
2026-03-22T18:00:00-04:00,0,0.167
2026-03-22T18:00:00-04:00,1,0.242
2026-03-23T00:00:00-04:00,0,0.189
2026-03-23T00:00:00-04:00,1,0.295
2026-03-23T06:00:00-04:00,0,0.191
2026-03-23T06:00:00-04:00,1,0.301
2026-03-23T12:00:00-04:00,0,0.179
2026-03-23T12:00:00-04:00,1,0.245
2026-03-23T18:00:00-04:00,0,0.233
2026-03-23T18:00:00-04:00,1,0.274
2026-03-24T00:00:00-04:00,0,0.249
2026-03-24T00:00:00-04:00,1,0.304
2026-03-24T06:00:00-04:00,0,0.241
2026-03-24T06:00:00-04:00,1,0.306
2026-03-24T12:00:00-04:00,0,0.197
2026-03-24T12:00:00-04:00,1,0.225
2026-03-24T18:00:00-04:00,0,0.211
2026-03-24T18:00:00-04:00,1,0.229
2026-03-25T00:00:00-04:00,0,0.233
2026-03-25T00:00:00-04:00,1,0.288
2026-03-25T06:00:00-04:00,0,0.225
2026-03-25T06:00:00-04:00,1,0.283
2026-03-25T12:00:00-04:00,0,0.199
2026-03-25T12:00:00-04:00,1,0.231
2026-03-25T18:00:00-04:00,0,0.211
2026-03-25T18:00:00-04:00,1,0.233
2026-03-26T00:00:00-04:00,0,0.264
2026-03-26T00:00:00-04:00,1,0.292
2026-03-26T06:00:00-04:00,0,0.249
2026-03-26T06:00:00-04:00,1,0.272
2026-03-26T12:00:00-04:00,0,0.177
2026-03-26T12:00:00-04:00,1,0.200
2026-03-26T18:00:00-04:00,0,0.193
2026-03-26T18:00:00-04:00,1,0.222
2026-03-27T00:00:00-04:00,0,0.231
2026-03-27T00:00:00-04:00,1,0.270
2026-03-27T06:00:00-04:00,0,0.219
2026-03-27T06:00:00-04:00,1,0.268
2026-03-27T12:00:00-04:00,0,0.165
2026-03-27T12:00:00-04:00,1,0.208
2026-03-27T18:00:00-04:00,0,0.207
2026-03-27T18:00:00-04:00,1,0.243
2026-03-28T00:00:00-04:00,0,0.235
2026-03-28T00:00:00-04:00,1,0.277
2026-03-28T06:00:00-04:00,0,0.252
2026-03-28T06:00:00-04:00,1,0.279
2026-03-28T12:00:00-04:00,0,0.177
2026-03-28T12:00:00-04:00,1,0.195
2026-03-28T18:00:00-04:00,0,0.195
2026-03-28T18:00:00-04:00,1,0.240
2026-03-29T00:00:00-04:00,0,0.239
2026-03-29T00:00:00-04:00,1,0.279
2026-03-29T06:00:00-04:00,0,0.219
2026-03-29T06:00:00-04:00,1,0.234
2026-03-29T12:00:00-04:00,0,0.209
2026-03-29T12:00:00-04:00,1,0.265
2026-03-29T18:00:00-04:00,0,0.262
2026-03-29T18:00:00-04:00,1,0.343
